titre,artistes,url,streams_avant,streams_apres,ecart
Intro,Amo la Mara,https://open.spotify.com/track/6SxJddvMH2pwB2IGMp3X0B?si=rugLZfsYREihkAOMij031A,609029,609759,730
LE P’TIT 5,ZABUZA,https://open.spotify.com/track/55g5GUsExOME3Hsf25P1Dx?si=x2Y0KtETTrOm9FWUco-Odw,243432,251646,8214
lucioles,ska2r,https://open.spotify.com/track/6f7c7myC6bKbJGSofWQg3J?si=zye1WTaLQYKa1agjC0mkJQ,0,0,0
Inarrêtable,Loay,https://open.spotify.com/track/7CfYIA6nHBXRvMH9LrRVoj?si=9En3GNZCR--onikTcYPaJw,1854,1866,12
Cartel Sinaloa,"Jeekay, Kaneki",https://open.spotify.com/track/02vYOuNdVqcMl8TKqqcWAh?si=Bie32k3ZQsWHH0vqh0DSIw,103220,103399,179
Enfin libre,KYYOUTTE,https://open.spotify.com/track/0RORqPdq8R8AHH6uHLybc2?si=TzFBpOmOR56OO3mUnujkTA,0,0,0
ChatPT,Madame G,https://open.spotify.com/track/3qZVXPV4zyQNVQb8ziykdn?si=n5x1nnj5TCSPRMe53kC0kw,0,0,0
Vie,RCD,https://open.spotify.com/track/5VtRGO9G2zEy1y8vcux8fE?si=dN8YSR0zRs6JTuIornB8PA,0,0,0
DERNIER RECOURS,MiraX,https://open.spotify.com/track/6anG0rQt5MaHzkWA27qaEn?si=TikS0tBXSKq0TRXmhPtm-w,2706,2707,1
Horloger #4,Imed zee,https://open.spotify.com/track/6260AH13Q47vbADdtXdWHz?si=ZNP3DtP6QnKZJcl2oCqITg,327589,332304,4715
Lune de miel,SNK Fcktz,https://open.spotify.com/track/62EAqK5oVaA2HRG5oa5Akx?si=2YK39p0sRkqUwVkcgZKBdw,2668,2668,0
le dalhia rouge,Mesrine69,https://open.spotify.com/track/5GiLCYCauPi5r8n6n7IuHq?si=HFhvvYJdRSm8xhERMr5Rwg,0,0,0
